Fasta_ID_alignment,Assigned_Hg_based_on_tree,node_of_assigned_monophyletic_clade,colour_name,colour_hex_code
MW886108_Argentina_ElDiquecito__d__2520_C1d1b2,C,784,orange,#FFA600
I20527_DominicanRepublic_ElSoco_d_998_C1d1,C,784,orange,#FFA600
I7977_DominicanRepublic_CuevaRoja_d_1887_C1d1,C,784,orange,#FFA600
I13322_Bahamas_LongIsland_d_750_C1d1,C,784,orange,#FFA600
S0301_Peru_SanSebastian__c__550_C1d,C,784,orange,#FFA600
I17901_DominicanRepublic_Atajadizo_d_517_C1d1,C,784,orange,#FFA600
I23712_Mexico_Sonora_c_625_C1d1c,C,784,orange,#FFA600
I2543_Peru_Campanayuq_d_945_C1d1,C,784,orange,#FFA600
I23707_Mexico_Sonora_d_602_C1d1,C,784,orange,#FFA600
S0324_Peru_HuacaPrieta__c__1400_C1b,C,784,orange,#FFA600
I0324_Peru_ElBrujo_d_1095_C1b,C,784,orange,#FFA600
KU523321_Peru_HuacaPucllana__c__1264_C1b19,C,784,orange,#FFA600
I15667_DominicanRepublic_LaCaleta_d_516_C1b2,C,784,orange,#FFA600
I15604_DominicanRepublic_LaCaleta_c_1000_C1b2,C,784,orange,#FFA600
I16540_DominicanRepublic_LaCaleta_c_1000_C1b2,C,784,orange,#FFA600
I15972_DominicanRepublic_LaCaleta_d_536_C1b2,C,784,orange,#FFA600
I15081_DominicanRepublic_LaCaleta_d_859_C1b2,C,784,orange,#FFA600
I15676_DominicanRepublic_LaCaleta_d_464_C1b2,C,784,orange,#FFA600
I16178_DominicanRepublic_LaCaleta_d_702_C1b2,C,784,orange,#FFA600
I7970_DominicanRepublic_LaUnion_d_600_C1b2,C,784,orange,#FFA600
I16173_DominicanRepublic_LaCaleta_c_1000_C1b2,C,784,orange,#FFA600
I13558_Bahamas_SouthAndrosIsland_d_750_C1b2,C,784,orange,#FFA600
I15668_DominicanRepublic_LaCaleta_d_597_C1b2,C,784,orange,#FFA600
I15106_DominicanRepublic_Atajadizo_d_702_C1b2,C,784,orange,#FFA600
I8121_DominicanRepublic_ElSoco_c_800_C1b2,C,784,orange,#FFA600
I16174_DominicanRepublic_LaCaleta_d_894_C1b2,C,784,orange,#FFA600
I15591_DominicanRepublic_LaCaleta_d_615_C1b2,C,784,orange,#FFA600
I18437_DominicanRepublic_ElFrances_c_1100_C1b2,C,784,orange,#FFA600
I15674_DominicanRepublic_LaCaleta_c_625_C1b2,C,784,orange,#FFA600
I13741_Bahamas_FlamingoCay_c_750_C1b2,C,784,orange,#FFA600
I16181_DominicanRepublic_LaCaleta_c_675_C1b2,C,784,orange,#FFA600
I13538_PuertoRico_SantaElena_c_1700_C1b2,C,784,orange,#FFA600
I13321_Bahamas_EleutheraIsland_c_750_C1b2,C,784,orange,#FFA600
I15112_DominicanRepublic_Atajadizo_d_702_C1b2,C,784,orange,#FFA600
I15966_DominicanRepublic_LaCaleta_d_768_C1b2,C,784,orange,#FFA600
I16175_DominicanRepublic_LaCaleta_c_675_C1b2,C,784,orange,#FFA600
I15665_DominicanRepublic_LaCaleta_d_723_C1b2,C,784,orange,#FFA600
I13203_DominicanRepublic_ElSoco_c_750_C1b2,C,784,orange,#FFA600
I15962_DominicanRepublic_LaCaleta_d_517_C1b2,C,784,orange,#FFA600
I18134_DominicanRepublic_ElFrances_d_1115_C1b2,C,784,orange,#FFA600
I7966_DominicanRepublic_CuevaJuana_d_1249_C1b2,C,784,orange,#FFA600
I13189_DominicanRepublic_ElSoco_d_753_C1b2,C,784,orange,#FFA600
I18301_DominicanRepublic_Atajadizo_d_848_C1b2,C,784,orange,#FFA600
I16520_DominicanRepublic_LaCaleta_c_1000_C1b2,C,784,orange,#FFA600
I15977_DominicanRepublic_LaCaleta_d_1002_C1b2,C,784,orange,#FFA600
I15082_DominicanRepublic_LaCaleta_d_673_C1b2,C,784,orange,#FFA600
I15601_DominicanRepublic_LaCaleta_d_1228_C1b2,C,784,orange,#FFA600
I16556_DominicanRepublic_LaCaleta_c_1000_C1b2,C,784,orange,#FFA600
I15678_DominicanRepublic_LaCaleta_d_970_C1b2,C,784,orange,#FFA600
I15682_DominicanRepublic_LaCaleta_c_1000_C1b2,C,784,orange,#FFA600
I16519_DominicanRepublic_LaCaleta_d_930_C1b2,C,784,orange,#FFA600
I15965_DominicanRepublic_LaCaleta_d_887_C1b2,C,784,orange,#FFA600
I15976_DominicanRepublic_LaCaleta_d_1112_C1b2,C,784,orange,#FFA600
I15602_DominicanRepublic_LaCaleta_c_1000_C1b2,C,784,orange,#FFA600
I15595_DominicanRepublic_LaCaleta_d_1301_C1b2,C,784,orange,#FFA600
I13195_DominicanRepublic_ElSoco_d_601_C1b2,C,784,orange,#FFA600
I15963_DominicanRepublic_LaCaleta_d_1218_C1b2,C,784,orange,#FFA600
I15969_DominicanRepublic_LaCaleta_d_995_C1b2,C,784,orange,#FFA600
I15596_DominicanRepublic_LaCaleta_d_942_C1b2,C,784,orange,#FFA600
I15597_DominicanRepublic_LaCaleta_c_1000_C1b2,C,784,orange,#FFA600
I15964_DominicanRepublic_LaCaleta_d_998_C1b2,C,784,orange,#FFA600
KU523328_Peru_PuebloViejo__c__779_C1b,C,784,orange,#FFA600
MW886120_Argentina_LaGranja__d__1167_C1b16,C,784,orange,#FFA600
CH13_Uruguay_SanMiguel_d_604_C1d3,C,784,orange,#FFA600
CH2D01−20_Uruguay_DepartmentDeRocha__c_c_1610_C1d3,C,784,orange,#FFA600
MW886111_Argentina_EstanciaLaElisa__d__4538_C1b,C,784,orange,#FFA600
BTK76_Canada_Newfoundland__d__871_C1b,C,784,orange,#FFA600
BTK150_Canada_Newfoundland__d__4414_C4c1,C,784,orange,#FFA600
BTK162_Canada_Newfoundland__d__4564_C4c1,C,784,orange,#FFA600
BTK53_Canada_Newfoundland__d__4450_C4c1,C,784,orange,#FFA600
BTK50_Canada_Newfoundland__d__4439_C4c1,C,784,orange,#FFA600
BTK49_Canada_Newfoundland__d__4501_C4c1,C,784,orange,#FFA600
BTK168_Canada_Newfoundland__d__4356_C4c1,C,784,orange,#FFA600
BTK80_Canada_Newfoundland__d__4113_C4c1b,C,784,orange,#FFA600
BTK40_Canada_Newfoundland__d__4219_C4c1,C,784,orange,#FFA600
BTK44_Canada_Newfoundland__d__4150_C4c1b,C,784,orange,#FFA600
I15600_DominicanRepublic_LaCaleta_d_1217_C1b,C,784,orange,#FFA600
I13206_DominicanRepublic_JuanDolio_d_516_C1b,C,784,orange,#FFA600
I14991_DominicanRepublic_LomaPerenal_d_614_C1b,C,784,orange,#FFA600
I14920_Bahamas_EleutheraIsland_d_938_C1b,C,784,orange,#FFA600
I14879_Bahamas_SouthAndrosIsland_d_651_C1b,C,784,orange,#FFA600
I13557_Bahamas_BlueHole_c_950_C1b,C,784,orange,#FFA600
I14921_Bahamas_EleutheraIsland_d_679_C1b,C,784,orange,#FFA600
I13738_Bahamas_LongIsland_d_625_C1b,C,784,orange,#FFA600
I14990_DominicanRepublic_EdilioCruz_d_697_C1b,C,784,orange,#FFA600
KU523341_Argentina_Llullaillaco__c__539_D1,D,959,green,#007C66
LLP.S2.E1_Argentina_LagunaDeLosPampas__d__9998.5_D1j,D,959,green,#007C66
I11288_USA_Ca−sba−52_California_d_4851_D1,D,959,green,#007C66
I12967_Curacao_DeSavaan_d_660_D1,D,959,green,#007C66
I15481_USA_Ca−sba−52_California_c_4800_D1,D,959,green,#007C66
I11283_USA_Ca−sba−28_California_d_1461_D1,D,959,green,#007C66
I11552_USA_PacificGrove_California_d_165_D1f,D,959,green,#007C66
S0309_Argentina_ArroyoSeco2__d__7755_D1,D,959,green,#007C66
I0309_Argentina_ArroyoSecoIi_d_7650_D1,D,959,green,#007C66
MW886102_Argentina_ElDiquecito__d__1069_D1j1,D,959,green,#007C66
I11559_USA_Ca−ven−61_California_d_1444_D1,D,959,green,#007C66
I2264_Peru_Chinchawas_c_700_D1,D,959,green,#007C66
I2250_Peru_Chinchawas_c_700_D1,D,959,green,#007C66
I2253_Peru_Chinchawas_c_1025_D1,D,959,green,#007C66
I2252_Peru_Chinchawas_c_1025_D1,D,959,green,#007C66
I15174_USA_Calveras_County_California_c_600_D1,D,959,green,#007C66
KU523347_Peru_PuebloViejo__c__1639_D1,D,959,green,#007C66
I1742_Peru_Tranca_c_1125_D1,D,959,green,#007C66
I2233_Peru_ParacasWariKayan_d_1915_D1,D,959,green,#007C66
I12347_DominicanRepublic_ElSoco_c_800_D1,D,959,green,#007C66
I13192_DominicanRepublic_ElSoco_d_688_D1,D,959,green,#007C66
I13323_PuertoRico_SantaElena_d_701_D1,D,959,green,#007C66
I14826_USA_ParadiseCove_California_d_3771_D1,D,959,green,#007C66
I2237_Peru_ElBrujo_d_1335_D1,D,959,green,#007C66
I12576_Haiti_Diale1_c_950_D1,D,959,green,#007C66
BTK119_Canada_Newfoundland__d__4082_D1,D,959,green,#007C66
BTK88_Canada_Newfoundland__d__4013_D1,D,959,green,#007C66
BTK37_Canada_Newfoundland__d__3912_D1,D,959,green,#007C66
BTK46_Canada_Newfoundland__d__4307_D1,D,959,green,#007C66
BTK54_Canada_Newfoundland__d__300_D1,D,959,green,#007C66
KU523348_Peru_Pasamayo__c__699_D1,D,959,green,#007C66
I0965_Peru_HuacaPucllana_d_555_D1,D,959,green,#007C66
I10334_DominicanRepublic_CuevaRoja_c_2500_D1,D,959,green,#007C66
I5456_Belize_SakiTzul_d_7368_D1,D,959,green,#007C66
I5457_Belize_SakiTzul_d_7376_D1,D,959,green,#007C66
S0187_Peru_LaGalgada__c__4000_D1,D,959,green,#007C66
I2549_Peru_Palpa_d_540_D1,D,959,green,#007C66
I12356_Argentina_TierraDelFuego_d_280_D1,D,959,green,#007C66
I12360_Argentina_TierraDelFuego_d_400_D1g,D,959,green,#007C66
I12361_Argentina_TierraDelFuego_d_420_D1g,D,959,green,#007C66
I12357_Argentina_TierraDelFuego_d_330_D1g,D,959,green,#007C66
I12366_Argentina_NorthOfTierraDelFuego_d_100_D1g,D,959,green,#007C66
I12363_Argentina_NorthOfTierraDelFuego_d_380_D1g,D,959,green,#007C66
MW886109_Argentina_ElDiquecito__d__613_D1g5a,D,959,green,#007C66
MW886106_Argentina_PotreroDeGaray__d__789_D1g5,D,959,green,#007C66
I12354_Argentina_NorthOfTierraDelFuego_d_450_D1g,D,959,green,#007C66
I8575_Chile_CerroJohnny_d_424_D1g,D,959,green,#007C66
I8576_Chile_FaroM__ndez_c_100_D1g,D,959,green,#007C66
I2238_Peru_ElBrujo_c_1550_D1,D,959,green,#007C66
I2251_Peru_Chinchawas_c_700_D1,D,959,green,#007C66
I17903_DominicanRepublic_Atajadizo_c_1000_D1,D,959,green,#007C66
I12344_DominicanRepublic_ElSoco_c_800_D1,D,959,green,#007C66
I7968_DominicanRepublic_CuevaJuana_d_1015_D1,D,959,green,#007C66
I7967_DominicanRepublic_CuevaJuana_d_1228_D1,D,959,green,#007C66
I12364_Argentina_NorthOfTierraDelFuego_d_770_D4h3a,D,959,green,#007C66
I19950_Belize_SakiTzul_d_4673_D4h3a,D,959,green,#007C66
I3443_Belize_MayahakCabPek_d_9301_D4h3a,D,959,green,#007C66
Ancient939_Canada_LucyIsland__d__5675_D4h3a7,D,959,green,#007C66
I19170_Belize_MayahakCabPek_c_8775_D4h3a5,D,959,green,#007C66
I1754_Chile_Conchal___d_825_D4h3a1a2,D,959,green,#007C66
I2263_Peru_ElBrujo_d_1095_D4h3a,D,959,green,#007C66
I11262_USA_Ca−sba−17_California_d_988_D4h3a,D,959,green,#007C66
I23710_Mexico_Sonora_d_562_D4h3a,D,959,green,#007C66
I19169_Belize_MayahakCabPek_d_8735_D4h3a5,D,959,green,#007C66
I0721_USA_ChalukaMidden_AleutianIslands_d_2070_D2a1a,D,959,green,#007C66
I0719_USA_ChalukaMidden_AleutianIslands_d_505_D2a1a,D,959,green,#007C66
I1124_USA_KagamilIsland_AleutianIslands_d_230_D2a1a,D,959,green,#007C66
I1129_USA_KagamilIsland_AleutianIslands_d_395_D2a1a,D,959,green,#007C66
I1126_USA_ChalukaMidden_AleutianIslands_d_965_D2a1a,D,959,green,#007C66
I1118_USA_KagamilIsland_AleutianIslands_d_315_D2a1a,D,959,green,#007C66
I0712_USA_ChalukaMidden_AleutianIslands_d_1065_D2a1a,D,959,green,#007C66
I1127_USA_KagamilIsland_AleutianIslands_d_435_D2a1a,D,959,green,#007C66
I1125_USA_ShipRockIsland_AleutianIslands_d_575_D2a1a,D,959,green,#007C66
I1128_USA_KagamilIsland_AleutianIslands_d_405_D2a1a,D,959,green,#007C66
BTK75_Canada_Newfoundland__d__1370_D2a1,D,959,green,#007C66
I10427_Canada_BuchananSite_d_1755_D2a1,D,959,green,#007C66
AF347014.1_yoruba_reference,NA,NA,,
