Fasta_ID_alignment,Assigned_Hg_based_on_tree,node_of_assigned_monophyletic_clade,colour_name,colour_hex_code
I15592_DominicanRepublic_LaCaleta_d_859_A2e,A2,637,red,#E7180B
I15971_DominicanRepublic_LaCaleta_d_679_A2e,A2,637,red,#E7180B
I15675_DominicanRepublic_LaCaleta_c_1000_A2e,A2,637,red,#E7180B
I15587_DominicanRepublic_LaCaleta_c_1000_A2e,A2,637,red,#E7180B
I15671_DominicanRepublic_LaCaleta_c_1000_A2e,A2,637,red,#E7180B
I15598_DominicanRepublic_LaCaleta_c_1000_A2e,A2,637,red,#E7180B
I15968_DominicanRepublic_LaCaleta_d_930_A2e,A2,637,red,#E7180B
I15978_DominicanRepublic_LaCaleta_d_959_A_,A2,637,red,#E7180B
I13539_PuertoRico_Canas_d_1315_A2e,A2,637,red,#E7180B
I15970_DominicanRepublic_LaCaleta_c_1000_A2e,A2,637,red,#E7180B
I15051_DominicanRepublic_LaCaleta_d_852_A2e,A2,637,red,#E7180B
I15973_DominicanRepublic_LaCaleta_d_635_A2e,A2,637,red,#E7180B
I16176_DominicanRepublic_LaCaleta_d_694_A2e,A2,637,red,#E7180B
I16180_DominicanRepublic_LaCaleta_d_862_A2e,A2,637,red,#E7180B
I15590_DominicanRepublic_LaCaleta_d_851_A2e,A2,637,red,#E7180B
I15050_DominicanRepublic_LaCaleta_d_849_A2e,A2,637,red,#E7180B
I3442_Belize_MayahakCabPek_d_4998_A2af1b,A2,637,red,#E7180B
I21249_Usa_Ca−sba−46a_California_c_950_A2,A2,637,red,#E7180B
I11256_USA_Carmel_California_c_400_A2,A2,637,red,#E7180B
KP300792_Peru_Lauricocha__d__3572_A2,A2,637,red,#E7180B
AZ32_Colombia_Aguazuque__d__2725_A264,A2,637,red,#E7180B
I21452_Usa_Ca−sba−46a_California_c_950_A2,A2,637,red,#E7180B
I21250_Usa_Ca−sba−46a_California_c_950_A2,A2,637,red,#E7180B
I12376_Argentina_SouthwestOfBuenosAires_d_2333_A264,A2,637,red,#E7180B
I5320_USA_TochakMcgrath_c_725_A264,A2,637,red,#E7180B
I5321_USA_TochakMcgrath_c_725_A264,A2,637,red,#E7180B
I8041_Belize_MayahakCabPek_d_4079_A264,A2,637,red,#E7180B
I6235_Belize_MayahakCabPek_d_4523_A264,A2,637,red,#E7180B
I11292_USA_Ca−sba−7_California_c_7075_A264,A2,637,red,#E7180B
I15477_USA_Ca−sba−7_California_c_7075_A264,A2,637,red,#E7180B
I15476_USA_Ca−sba−7_California_d_7070_A264,A2,637,red,#E7180B
I11290_USA_Ca−sba−7_California_c_7075_A264,A2,637,red,#E7180B
I15479_USA_SantaBarbara_California_c_3050_A264,A2,637,red,#E7180B
Ancient160a_Canada_DodgeIsland__d__4855_A2ah,A2,637,red,#E7180B
I2707_USA_Ca−sri−2b_California_c_600_A2,A2,637,red,#E7180B
I11282_USA_Ca−sba−17_California_d_930_A2,A2,637,red,#E7180B
I11968_USA_Ca−sri−5a_California_d_3487_A2,A2,637,red,#E7180B
I11293_USA_Ca−sba−72_California_c_1100_A2,A2,637,red,#E7180B
I3565_USA_Ca−sri−41_California_d_3115_A2,A2,637,red,#E7180B
I5454_Belize_MayahakCabPek_d_5038_A2q,A2,637,red,#E7180B
I11558_USA_Ca−sri−3_California_d_7627_A2,A2,637,red,#E7180B
I14881_Bahamas_SouthAndrosIsland_d_605_A2,A2,637,red,#E7180B
I13326_PuertoRico_Monserrate_c_1000_A2,A2,637,red,#E7180B
S0315_Chile_Camarones__c__3750_A2,A2,637,red,#E7180B
I11557_USA_Ca−sri−3_California_d_7630_A2,A2,637,red,#E7180B
I10863_Mexico_Campeche_c_340_A2m,A2,637,red,#E7180B
MW886119_Argentina_Copina__d__608_A2bc,A2,637,red,#E7180B
I11296_USA_Ca−sba−81_California_d_2737_A264,A2,637,red,#E7180B
I11289_USA_Ca−sba−52_California_d_4816_A264,A2,637,red,#E7180B
I11285_USA_Ca−sba−477_California_c_400_A264,A2,637,red,#E7180B
I13266_Belize_MayahakCabPek_d_4380_A2ap,A2,637,red,#E7180B
I8122_DominicanRepublic_ElSoco_c_800_A2z,A2,637,red,#E7180B
I13198_DominicanRepublic_JuanDolio_d_483_A2z,A2,637,red,#E7180B
I10862_Mexico_Campeche_c_340_A2,A2,637,red,#E7180B
I15176_USA_Calveras_County_California_c_600_A2,A2,637,red,#E7180B
I15172_USA_Calveras_County_California_c_600_A2,A2,637,red,#E7180B
I13208_DominicanRepublic_JuanDolio_d_660_A264,A2,637,red,#E7180B
I13199_DominicanRepublic_JuanDolio_d_534_A264,A2,637,red,#E7180B
I13201_DominicanRepublic_JuanDolio_d_598_A264,A2,637,red,#E7180B
I13207_DominicanRepublic_JuanDolio_c_525_A264,A2,637,red,#E7180B
S0323_Chile_Pica−8__c__750_A2,A2,637,red,#E7180B
I11551_USA_Carmel_California_d_604_A264,A2,637,red,#E7180B
I11257_USA_Carmel_California_c_400_A264,A2,637,red,#E7180B
I11260_USA_Carmel_California_c_400_A264,A2,637,red,#E7180B
I11245_USA_Monterey_California_d_980_A2,A2,637,red,#E7180B
I17907_DominicanRepublic_Atajadizo_d_587_A264,A2,637,red,#E7180B
LP17.8_Peru_HuacaPucllana__c__1264_A2,A2,637,red,#E7180B
I0971_Peru_HuacaPucllana_c_1250_A264,A2,637,red,#E7180B
LP40.5_Peru_Pasamayo__c__710_A2,A2,637,red,#E7180B
I17902_DominicanRepublic_Atajadizo_d_661_A2,A2,637,red,#E7180B
I14883_Bahamas_SouthAndrosIsland_d_750_A2,A2,637,red,#E7180B
I18300_DominicanRepublic_Atajadizo_c_800_A2,A2,637,red,#E7180B
I17908_DominicanRepublic_Atajadizo_d_524_A2,A2,637,red,#E7180B
I15593_DominicanRepublic_LaCaleta_d_974_A2,A2,637,red,#E7180B
I15105_DominicanRepublic_Atajadizo_d_706_A2,A2,637,red,#E7180B
I15111_DominicanRepublic_Atajadizo_d_607_A2,A2,637,red,#E7180B
I13196_DominicanRepublic_JuanDolio_d_679_A2,A2,637,red,#E7180B
I15975_DominicanRepublic_LaCaleta_d_850_A2,A2,637,red,#E7180B
I17906_DominicanRepublic_Atajadizo_d_1130_A2,A2,637,red,#E7180B
I17905_DominicanRepublic_Atajadizo_d_604_A2,A2,637,red,#E7180B
I17899_DominicanRepublic_Atajadizo_d_471_A2,A2,637,red,#E7180B
I14882_Bahamas_SouthAndrosIsland_d_635_A2,A2,637,red,#E7180B
I13324_PuertoRico_SantaElena_c_1700_A2,A2,637,red,#E7180B
I16539_DominicanRepublic_LaCaleta_d_858_A264,A2,637,red,#E7180B
I7965_DominicanRepublic_CuevaJuana_d_1230_A264,A2,637,red,#E7180B
BTK60_Canada_Newfoundland__d__162_A2i,A2,637,red,#E7180B
BTK73_Canada_Newfoundland__d__1335_A2i,A2,637,red,#E7180B
BTK55_Canada_Newfoundland__d__203_A2i,A2,637,red,#E7180B
BTK188_Canada_Newfoundland__d__132_A2i,A2,637,red,#E7180B
BTK20_Canada_Newfoundland__d__172_A2i,A2,637,red,#E7180B
BTK68_Canada_Newfoundland__d__371_A2i,A2,637,red,#E7180B
BTK70_Canada_Newfoundland__d__164_A2i,A2,637,red,#E7180B
LP40.4_Peru_HuacaPucllana__c__1264_A2,A2,637,red,#E7180B
LP20.4_Peru_HuacaPucllana__c__1264_A2,A2,637,red,#E7180B
BTK63_Canada_Newfoundland__d__388_X2a1b,X2a1,779,purple,#7B3B97
BTK62_Canada_Newfoundland__d__138_X2a1b,X2a1,779,purple,#7B3B97
BTK01_Canada_Newfoundland__d__160_X2a1b,X2a1,779,purple,#7B3B97
BTK36_Canada_Newfoundland__d__4040_X2a1,X2a1,779,purple,#7B3B97
BTK178_Canada_Newfoundland__d__4161_X2a1,X2a1,779,purple,#7B3B97
LP20.3_Peru_HuacaPucllana__c__1264_B2b,B2,521,blue,#377CEF
LP13.4_Peru_HuacaPucllana__c__1264_B2b,B2,521,blue,#377CEF
LP40.2_Peru_HuacaPucllana__c__1264_B2b,B2,521,blue,#377CEF
KU523298_Peru_Pasamayo__c__779_B2b9b,B2,521,blue,#377CEF
LP20.1_Peru_HuacaPucllana__c__1264_B2b,B2,521,blue,#377CEF
I1357_Peru_Botigiriayocc_c_925_B2l,B2,521,blue,#377CEF
I1358_Peru_Pacapaccari_d_735_B2b,B2,521,blue,#377CEF
I15168_USA_CaSba7_California_d_7070_B2b,B2,521,blue,#377CEF
MW886122_Argentina_ColoniaMuller__d__1441_B2,B2,521,blue,#377CEF
I13540_PuertoRico_Canas_d_1014_B2,B2,521,blue,#377CEF
LP13.2_Peru_HuacaPucllana__c__1264_B2,B2,521,blue,#377CEF
I1485_Peru_CuevaYacotogia_d_1030_B2,B2,521,blue,#377CEF
LP14.5_Peru_HuacaPucllana__c__1264_B2,B2,521,blue,#377CEF
I15109_DominicanRepublic_Atajadizo_d_510_B2,B2,521,blue,#377CEF
I15108_DominicanRepublic_Atajadizo_d_512_B2,B2,521,blue,#377CEF
I14878_Bahamas_EleutheraIsland_d_795_B2,B2,521,blue,#377CEF
I14876_Bahamas_EleutheraIsland_d_624_B2,B2,521,blue,#377CEF
I14875_Bahamas_AbacoIslands_d_750_B2,B2,521,blue,#377CEF
I13190_DominicanRepublic_ElSoco_d_711_B2,B2,521,blue,#377CEF
I17900_DominicanRepublic_Atajadizo_d_529_B2,B2,521,blue,#377CEF
I15107_DominicanRepublic_Atajadizo_d_604_B2,B2,521,blue,#377CEF
KU523299_Bolivia_Tiwanaku__c__1314_B2,B2,521,blue,#377CEF
I2558_Peru_Ullujaya_d_1320_B2,B2,521,blue,#377CEF
