Author_name ,Date_Published ,Paper_title ,Abbrev_name,Link_to_source
Anna-Sapfo Malaspinas,2014,Two ancient human genomes reveal Polynesian ancestry among the indigenous Botocudos of Brazil,MalaspinasCurrBiol2014,https://www.cell.com/current-biology/fulltext/S0960-9822(14)01274-3?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0960982214012743%3Fshowall%3Dtrue
Maria Russo,2017,"Mitochondrial lineages in corner samples from Huajra (Jujuy, Argentina). Contributions to the study of the Inca occupation in the region and the origin of its inhabitants",RussoRevArgAntropolBiol2017,https://doi.org/10.17139/raab.19.1.15
Maria Russo ,2018,Mitochondrial lineage A2ah found in a pre-Hispanic individual from the Andean region,RussoAmJHumBiol2018,https://onlinelibrary.wiley.com/doi/10.1002/ajhb.23134
Maria Russo,2016,Pre-Hispanic Mortuary Practices in Quebrada de Humahuaca (North-Western Argentina): Genetic Relatedness among Individuals Buried in the Same Grave,,https://onlinelibrary.wiley.com/doi/10.1111/ahg.12159
Maanasa Raghavan,2014,The genetic prehistory of the New World Arctic,RaghavanScience2014,https://www.science.org/doi/10.1126/science.1255832
M. Victoria Monsalve,2002,Brief Communication: Molecular Analysis of theKwa¨ day Da¨ n Ts’ı`nchi Ancient Remains Found in a Glacier in Canada,,Wiley Online LibraryBrief communication: Molecular analysis of the Kwäday Dän Ts…​
Andrew Wilson,2007,Stable isotope and DNA evidence for ritual sequences in Inca child sacrifice,WilsonPNAS2007,https://www.pnas.org/doi/full/10.1073/pnas.0704276104
Rodrigo Nores,2020,Biological kinship in 750 year old human remains from Central Argentina with signs of interpersonal violence,NoresForSciMedPathol2020,https://link.springer.com/article/10.1007/s12024-020-00296-3
Bryon Schroeder,2021,Spirit Eye Cave: Reestablishing provenience of trafficked prehistoric human remains using a composite collection-based ancient DNA approach,SchroederJArchaeolSciRep2021,https://www.sciencedirect.com/science/article/pii/S2352409X21000109?via%3Dihub#s0040
Gonzalo Figueiro,2017,"Analysis of the mitochondrial genome of two individuals buried at the archaeological site CG14E01 “Isla Larga” (Rocha, Uruguay)",FigueiroRevArgAntropolBiol2017,https://revistas.unlp.edu.ar/raab/article/view/2335
Hannes Schroeder,2018,Origins and genetic legacies of the Caribbean Taino,,https://www.pnas.org/doi/full/10.1073/pnas.1716839115
María Laura Parolin,2019,"New Evidence of Ancient Mitochondrial DNA of the Southern Andes (Calchaquí Valleys, Northwest Argentina, 3,600–1,900 Years before Present)",ParolinHumBiol2020,https://www-jstor-org.ezproxy-prd.bodleian.ox.ac.uk/stable/10.13110/humanbiology.91.4.02?sid=primo&seq=2 
Morten Rasmussen,2010,Ancient human genome sequence of an extinct Palaeo-Eskimo,,https://www.nature.com/articles/nature08835
Kendra Sirak,2020,Human auditory ossicles as an alternative optimal source of ancient DNA,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7111520/#sec13
Morten Rasmussen,2015,The ancestry and affiliations of Kennewick Man,,NatureThe ancestry and affiliations of Kennewick Man​
Constanza de la Fuente,2018,Genomic insights into the origin and diversification of late maritime hunter-gatherers from the Chilean Patagonia,delaFuentePNAS2018,https://www.pnas.org/doi/full/10.1073/pnas.1715688115
L.A Perez,2015,"Genetic contributions to the understanding of the social organization of the Muisca community of Tibanica (Soacha, Cundinamarca)",Perez2015,https://repositorio.uniandes.edu.co/entities/publication/d68ef8a0-d2d6-4bba-8880-7c5b9d81448e
Elena Essel,2023,Ancient human DNA recovered from a Palaeolithic pendant,EsselNature2023,https://www.nature.com/articles/s41586-023-06035-2
J.M.B Motti,2023,Ancient mitogenomes from the Southern Pampas of Argentina reflect local differentiation and limited extra-regional linkages after rapid initial colonization,MottiAmJBioAnthropol2023,https://onlinelibrary.wiley.com/doi/10.1002/ajpa.24727
Qiaomei Fu,2013,"DNA analysis of an early modern human from Tianyuan Cave, China",FuPNAS2013,10.1073/pnas.1221359110
Nathan Nakatsuka,2023,Genetic continuity and change among the Indigenous peoples of California,NakatsukaNature2023,https://www.nature.com/articles/s41586-023-06771-5
Douglas J. Kennett,2022,South-to-north migration preceded the advent of intensive farming in the Maya region,KennettLipsonPruferNatureCommunications2022,https://doi.org/10.1038/s41467-022-29158-y
Douglas J. Kennett,2017,Archaeogenomic evidence reveals prehistoric matrilineal dynasty,KennettNatCommun2017,doi: 10.1038/ncomms14115
Jakob Sedig,2024,"High levels of consanguinity in a child from Paquimé, Chihuahua, Mexico",SedigAntiquity2024,doi.org/10.15184/aqy.2024.94
,,,,
,,,,
, ,,,
, ,,,
